SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
2_570,2_570_u,"Oh my god, where are all the men?",0:06,CHANDLER,FRIENDS,0.0,NONE,Disgust,Disgust,7.0,8.0
1_S10E07_247,1_S10E07_247_u,"Uh, she's enjoyed living with you. It's called being in love.",0:02.499000,PENNY,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_8159,1_8159_u,And I'm cool with surprises. But nothing on a Jumbotron. I don't want to cry on a big screen like that.,0:08,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E02_371,1_S09E02_371_u,"Okay, that is the lamest excuse you could've possibly come up with.",0:04.269000,PENNY,BBT,0.0,NONE,Anger,Anger,3.0,6.0
1_11098,1_11098_u,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.",0:09,BERNADETTE,BBT,1.0,PRO,Ridicule,Surprise,3.0,7.0
1_S09E13_024,1_S09E13_024_u,Glad to hear it.,0:3.503,HOWARD,BBT,1.0,ILL,Disgust,Happiness,3.0,7.0
2_24,2_24_u,"Uh, okay. The fifth dentist caved and now they're all recommending Trident?",0:04,CHANDLER,FRIENDS,1.0,EMB,Ridicule,Neutral,4.0,7.0
1_11723,1_11723_u,"Not much, but he seemed to be in a pretty good place.",0:04,RAJ,BBT,0.0,NONE,Sadness,Sadness,4.0,5.0
1_S09E05_022,1_S09E05_022_u,What are you saying? We're not coordinated enough to play sports?,0:02.961000,LEONARD,BBT,0.0,NONE,Anger,Anger,2.0,4.0
1_2792,1_2792_u,"No, I mean, we can always go back to being friends.",0:03,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_218,2_218_u,"Hey, does somebody wanna hand me one of those tiles.",0:02,JOEY,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
1_11901,1_11901_u,"Yeah, good for you, Leonard. That's a lovely little notion. Kind of like, I wish I could talk to my uncle in Chicago. Yeah, now stand back while I invent the telephone. Hello? Oh, hold on. Leonard, it's your uncle. He says you just got burned.",0:16,SHELDON,BBT,1.0,PRO,Disgust,Happiness,2.0,8.0
1_S11E10_143,1_S11E10_143_u,Stop apologizing!,0:01.100000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_6627,1_6627_u,"Well, yeah, sex with you is pretty great. Have you ever tried it?",0:07,LEONARD,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_3287,1_3287_u,"Oh, sure. And while we're at it, why don't we put our hands behind our backs, have an old-fashioned eating contest?",0:05,SHELDON,BBT,1.0,PRO,Frustration,Happiness,2.0,7.0
1_S12E01_111,1_S12E01_111_u,This is the news. And that was a woman torn between two hunky vampires.,0:05.871000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_86,2_86_u,"Great! Okay, here.",0:12,CHANDLER,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,6.0
